Extension,Altitude,Velocity,Drag,Center_of_Pressure
0,0,34.0,7.067368,0.689644
0,0,68.0,26.54915,0.6839051
0,0,102.0,57.55965,0.6831837
0,0,137.0,99.96909,0.6830199
0,0,171.0,153.3719,0.6826655
0,0,205.0,217.6699,0.6831949
0,0,240.0,292.6834,0.6835693
0,0,274.0,378.3943,0.6822745
0,0,308.0,474.9042,0.6818333
0,0,343.0,581.1713,0.6836228
0,0,377.0,701.0983,0.6809654
0,0,411.0,826.9325,0.6814365
0,0,445.0,966.4949,0.6816837
0,0,480.0,1114.525,0.6820835
0,0,514.0,1274.397,0.6812108
0,1000,34.0,6.459812,0.6917785
0,1000,68.0,24.27062,0.6837823
0,1000,102.0,52.67036,0.6827928
0,1000,137.0,91.30802,0.6836889
0,1000,171.0,139.9006,0.6859891
0,1000,205.0,198.4542,0.6827315
0,1000,240.0,267.2423,0.6837806
0,1000,274.0,346.0058,0.6826854
0,1000,308.0,434.1193,0.6830659
0,1000,343.0,531.8253,0.6828948
0,1000,377.0,638.0651,0.6836417
0,1000,411.0,757.9021,0.681623
0,1000,445.0,880.2498,0.6845939
0,1000,480.0,1017.958,0.6816444
0,1000,514.0,1162.903,0.6806825
0,2000,34.0,5.900499,0.691049
0,2000,68.0,22.12347,0.6843662
0,2000,102.0,47.93084,0.6826929
0,2000,137.0,83.29915,0.6821327
0,2000,171.0,127.6207,0.6820021
0,2000,205.0,180.7873,0.6831707
0,2000,240.0,243.7518,0.6823277
0,2000,274.0,314.6014,0.6842375
0,2000,308.0,395.3845,0.6815349
0,2000,343.0,484.5154,0.6831554
0,2000,377.0,581.7684,0.6819682
0,2000,411.0,688.1906,0.6816052
0,2000,445.0,803.5492,0.6825364
0,2000,480.0,926.4985,0.6817319
0,2000,514.0,1057.403,0.6843001
0,3000,34.0,5.381708,0.6916979
0,3000,68.0,20.13852,0.6847609
0,3000,102.0,43.68694,0.6833594
0,3000,137.0,75.77287,0.6828681
0,3000,171.0,115.9503,0.6854472
0,3000,205.0,164.4921,0.6821311
0,3000,240.0,221.5869,0.6825663
0,3000,274.0,286.9183,0.6829209
0,3000,308.0,359.1461,0.682724
0,3000,343.0,440.5635,0.6820095
0,3000,377.0,529.2539,0.6819327
0,3000,411.0,624.4525,0.6818402
0,3000,445.0,728.5115,0.6820232
0,3000,480.0,842.0457,0.68299
0,3000,514.0,961.7117,0.6819562
0,4000,34.0,4.892213,0.6916955
0,4000,68.0,18.29838,0.6849555
0,4000,102.0,39.59246,0.6842629
0,4000,137.0,68.63155,0.6831764
0,4000,171.0,105.3118,0.6830786
0,4000,205.0,149.4365,0.6843044
0,4000,240.0,200.8079,0.6826104
0,4000,274.0,259.4473,0.6813827
0,4000,308.0,326.2332,0.6826673
0,4000,343.0,399.3462,0.6812444
0,4000,377.0,479.3516,0.6825114
0,4000,411.0,566.3195,0.6817163
0,4000,445.0,660.8074,0.6817146
0,4000,480.0,762.0417,0.6845866
0,4000,514.0,871.8527,0.6815271
0,5000,34.0,4.433228,0.6972311
0,5000,68.0,16.58303,0.6855133
0,5000,102.0,35.8459,0.6876187
0,5000,137.0,62.18672,0.682211
0,5000,171.0,95.46094,0.6829781
0,5000,205.0,135.014,0.685141
0,5000,240.0,181.7347,0.6824533
0,5000,274.0,234.7471,0.6821926
0,5000,308.0,294.79,0.6830192
0,5000,343.0,360.6953,0.6821849
0,5000,377.0,433.8533,0.6818162
0,5000,411.0,512.4958,0.6818802
0,5000,445.0,597.8141,0.6836481
0,5000,480.0,688.6406,0.6838894
0,5000,514.0,787.1019,0.6859807
0,6000,34.0,4.016498,0.6950065
0,6000,68.0,14.98393,0.6872646
0,6000,102.0,32.4324,0.6833229
0,6000,137.0,56.20885,0.6832514
0,6000,171.0,86.00323,0.6851957
0,6000,205.0,122.1528,0.6824726
0,6000,240.0,164.1115,0.6849629
0,6000,274.0,211.948,0.6821451
0,6000,308.0,265.9549,0.6840708
0,6000,343.0,325.1549,0.687039
0,6000,377.0,391.2388,0.6838099
0,6000,411.0,462.3341,0.682137
0,6000,445.0,538.9482,0.6834029
0,6000,480.0,622.5316,0.6821446
0,6000,514.0,711.9605,0.6823783
0,7000,34.0,3.622482,0.6985046
0,7000,68.0,13.51603,0.6872701
0,7000,102.0,29.23662,0.6839238
0,7000,137.0,50.67001,0.6831586
0,7000,171.0,77.51633,0.6827208
0,7000,205.0,109.8847,0.6834272
0,7000,240.0,148.0727,0.6831657
0,7000,274.0,190.9293,0.6825723
0,7000,308.0,239.6202,0.6824501
0,7000,343.0,292.8689,0.6849634
